x	y
296.936	0.316
296.936	22.575
256.933	23.542
206.448	25.043
160.999	26.869
135.737	28.769
113.386	30.599
98.300	32.229
84.539	34.440
75.935	36.588
65.974	39.803
60.200	42.711
56.817	45.433
53.469	48.273
50.478	50.221
47.262	52.074
43.327	53.342
37.416	55.405
32.344	57.414
28.347	61.417
26.495	64.529
25.565	67.406
24.553	72.063
24.119	77.298
23.938	80.712
23.936	84.683
25.039	88.713
26.359	93.068
28.202	98.916
29.804	103.703
31.888	110.037
33.674	115.827
35.612	121.591
38.285	130.175
41.250	139.474
43.149	146.227
46.433	156.341
48.652	164.356
50.487	170.302
53.283	180.620
55.157	187.886
56.739	193.714
57.943	198.460
