x	y
296.419	0.345
295.235	6.093
254.348	6.394
188.274	6.372
151.284	6.560
122.893	6.857
94.272	6.933
68.589	7.248
52.333	7.758
42.534	7.757
34.554	8.054
27.292	8.158
22.421	8.471
20.081	8.679
16.261	9.830
13.807	10.807
12.118	13.686
12.521	17.427
12.893	21.929
13.529	29.550
14.142	35.273
14.868	41.823
15.399	47.353
16.147	54.634
16.740	58.324
18.543	65.637
19.908	70.914
20.887	74.333
22.035	78.742
23.400	83.354
25.633	90.652
28.119	98.492
30.269	105.329
32.629	112.451
34.978	119.543
37.623	128.048
40.950	138.559
43.641	147.279
47.996	161.370
50.510	170.253
53.425	180.951
56.793	193.720
58.238	199.740
