x	y
3.600	0.277
3.598	5.698
3.660	5.433
3.738	5.406
3.800	5.640
3.837	5.979
3.889	5.932
3.971	6.059
4.076	6.508
4.174	6.761
4.265	6.876
4.330	7.138
4.424	7.488
4.517	7.713
4.599	8.173
4.651	10.400
4.626	13.821
4.579	17.554
4.532	20.707
4.501	22.837
4.430	27.317
4.361	32.879
4.334	35.772
4.292	39.661
4.266	42.748
4.241	46.279
4.203	51.278
4.165	53.586
4.126	55.769
4.105	56.763
4.075	59.642
4.060	63.841
4.046	68.052
4.044	72.475
4.049	78.145
4.057	83.290
4.075	87.355
4.098	92.047
4.122	96.209
4.138	99.831
4.155	103.244
4.179	109.347
4.204	116.449
4.231	124.384
4.246	128.739
4.265	135.922
4.284	143.427
4.302	150.333
4.314	155.964
4.330	163.786
4.348	173.618
4.365	183.741
4.377	191.312
4.391	199.174
